,Year,COUNTY,OSHPD_ID,Facility Name,Licensed Bed Classification,License Bed Designation,Licensed Bed Day,Discharges,Census Day,Intra Hospital Transfer from Critical Care,available beds,County labels,Facility Label,Beds Required('Predicted')
7293,2006-01-01,Colusa,106060870.0,COLUSA REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,28.0,189.0,73,2102.0,54,69,2101.999999999998
7307,2006-01-01,Contra Costa,106070904.0,DOCTORS MEDICAL CENTER - SAN PABLO CAMPUS,General Acute Care,Intensive Care,13870.0,417.0,3795.0,552,11044.0,55,95,11044.0
7321,2006-01-01,Contra Costa,106070924.0,CONTRA COSTA REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,143.0,1789.0,302,1576.0,55,84,1575.9999999999995
7335,2006-01-01,Contra Costa,106070934.0,SUTTER DELTA MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,226.0,2489.0,510,2627.0,55,523,2627.0
7349,2006-01-01,Contra Costa,106070988.0,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,General Acute Care,Intensive Care,8760.0,330.0,8007.0,1375,2458.0,55,171,2458.000000000001
7363,2006-01-01,Contra Costa,106070990.0,KAISER FND HOSP - WALNUT CREEK,General Acute Care,Intensive Care,8760.0,1450.0,11041.0,2033,1202.0,55,210,1202.0000000000064
7391,2006-01-01,Contra Costa,106071018.0,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,General Acute Care,Intensive Care,5475.0,209.0,4385.0,1360,2659.0,55,169,2659.0000000000005
7419,2006-01-01,Contra Costa,106074017.0,SAN RAMON REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,255.0,1936.0,427,936.0,55,444,935.9999999999997
7447,2006-01-01,Contra Costa,106074093.0,KAISER FND HOSP - RICHMOND CAMPUS,General Acute Care,Intensive Care,1460.0,156.0,1064.0,353,905.0,55,192,904.9999999999993
7461,2006-01-01,Del Norte,106084001.0,SUTTER COAST HOSPITAL,General Acute Care,Intensive Care,2190.0,398.0,2181.0,0,407.0,56,521,407.00000000000057
7475,2006-01-01,El Dorado,106090793.0,BARTON MEMORIAL HOSPITAL,General Acute Care,Intensive Care,3285.0,153.0,1396.0,431,2473.0,57,24,2472.999999999999
7489,2006-01-01,El Dorado,106090933.0,MARSHALL  MEDICAL CENTER (1-RH),General Acute Care,Intensive Care,2920.0,259.0,1811.0,532,1900.0,57,326,1899.9999999999993
7517,2006-01-01,Fresno,106100005.0,COMMUNITY MEDICAL CENTER - CLOVIS,General Acute Care,Intensive Care,2555.0,72.0,1646.0,235,1216.0,58,79,1215.999999999999
7545,2006-01-01,Fresno,106100717.0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,General Acute Care,Intensive Care,24820.0,198.0,3880.0,460,21598.0,58,83,21598.0
7600,2006-01-01,Fresno,106100822.0,UNIVERSITY MEDICAL CENTER,General Acute Care,Intensive Care,9490.0,278.0,7940.0,937,2765.0,58,556,2765.0000000000014
7614,2006-01-01,Fresno,106100899.0,ST. AGNES MEDICAL CENTER,General Acute Care,Intensive Care,12775.0,267.0,5342.0,984,8684.0,58,491,8684.0
7670,2006-01-01,Fresno,106104062.0,KAISER FND HOSP - FRESNO,General Acute Care,Intensive Care,4380.0,183.0,3241.0,588,1910.0,58,177,1909.9999999999993
7726,2006-01-01,Humboldt,106120981.0,"GENERAL HOSPITAL, THE",General Acute Care,Intensive Care,2920.0,0.0,0.0,0,2920.0,59,136,2919.999999999998
7740,2006-01-01,Humboldt,106121002.0,MAD RIVER COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,135.0,1049.0,262,1538.0,59,316,1537.999999999999
7768,2006-01-01,Humboldt,106121051.0,REDWOOD MEMORIAL HOSPITAL,General Acute Care,Intensive Care,1460.0,172.0,931.0,176,877.0,59,422,876.9999999999993
7782,2006-01-01,Humboldt,106121080.0,ST. JOSEPH HOSPITAL - EUREKA,General Acute Care,Intensive Care,1460.0,86.0,938.0,217,825.0,59,502,824.9999999999991
7810,2006-01-01,Imperial,106130699.0,EL CENTRO REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,7300.0,256.0,2990.0,656,5222.0,60,110,5222.0
7824,2006-01-01,Imperial,106130760.0,PIONEERS MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2920.0,153.0,1983.0,413,1503.0,60,397,1502.9999999999998
7838,2006-01-01,Inyo,106141273.0,NORTHERN INYO HOSPITAL,General Acute Care,Intensive Care,2068.0,66.0,362.0,116,1888.0,61,366,1887.9999999999984
7866,2006-01-01,Kern,106150706.0,DELANO REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,35.0,1828.0,227,2084.0,62,87,2083.999999999999
7880,2006-01-01,Kern,106150722.0,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,General Acute Care,Intensive Care,2920.0,210.0,4856.0,1175,-551.0,62,22,-550.9999999999991
7894,2006-01-01,Kern,106150736.0,KERN MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,165.0,2761.0,497,2281.0,62,256,2280.999999999999
7908,2006-01-01,Kern,106150737.0,KERN VALLEY HEALTHCARE DISTRICT,General Acute Care,Intensive Care,1095.0,4.0,19.0,8,1088.0,62,257,1087.9999999999984
7922,2006-01-01,Kern,106150761.0,MERCY HOSPITAL - BAKERSFIELD,General Acute Care,Intensive Care,7300.0,253.0,6387.0,1088,2254.0,62,335,2254.0000000000023
7936,2006-01-01,Kern,106150775.0,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,General Acute Care,Intensive Care,1460.0,9.0,125.0,4,1348.0,62,144,1347.9999999999984
7950,2006-01-01,Kern,106150782.0,RIDGECREST REGIONAL HOSPITAL,General Acute Care,Intensive Care,2920.0,98.0,909.0,228,2337.0,62,425,2336.999999999999
7964,2006-01-01,Kern,106150788.0,SAN JOAQUIN COMMUNITY HOSPITAL,General Acute Care,Intensive Care,7665.0,205.0,5657.0,998,3211.0,62,440,3211.0000000000014
8035,2006-01-01,Kern,106154108.0,MERCY SOUTHWEST HOSPITAL,General Acute Care,Intensive Care,2920.0,147.0,1717.0,323,1673.0,62,345,1672.9999999999995
8063,2006-01-01,Kings,106160725.0,HANFORD COMMUNITY MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,265.0,2972.0,0,943.0,63,149,943.0000000000006
8091,2006-01-01,Lake,106171049.0,REDBUD COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,228.0,1219.0,225,694.0,64,420,693.9999999999994
8105,2006-01-01,Lake,106171395.0,SUTTER LAKESIDE HOSPITAL,General Acute Care,Intensive Care,2190.0,151.0,1071.0,303,1573.0,64,525,1572.999999999999
8133,2006-01-01,Los Angeles,106190017.0,ALHAMBRA HOSPITAL,General Acute Care,Intensive Care,2190.0,96.0,1506.0,435,1215.0,65,5,1214.9999999999993
8161,2006-01-01,Los Angeles,106190034.0,ANTELOPE VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,7665.0,224.0,5454.0,1398,3833.0,65,18,3833.0000000000014
8189,2006-01-01,Los Angeles,106190049.0,VISTA SPECIALTY HOSPITAL OF SAN GABRIEL VALLEY,General Acute Care,Intensive Care,2920.0,60.0,2611.0,222,591.0,65,583,590.9999999999998
8217,2006-01-01,Los Angeles,106190053.0,ST. MARY MEDICAL CENTER,General Acute Care,Intensive Care,14235.0,388.0,6191.0,950,9382.0,65,509,9382.000000000002
8231,2006-01-01,Los Angeles,106190066.0,BELLFLOWER MEDICAL CENTER,General Acute Care,Intensive Care,1825.0,162.0,1546.0,247,688.0,65,25,687.9999999999997
8246,2006-01-01,Los Angeles,106190081.0,BEVERLY HOSPITAL,General Acute Care,Intensive Care,4380.0,255.0,3226.0,0,1409.0,65,26,1409.0000000000007
8260,2006-01-01,Los Angeles,106190110.0,BROTMAN MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,180.0,2173.0,207,1864.0,65,28,1863.9999999999998
8274,2006-01-01,Los Angeles,106190125.0,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,General Acute Care,Intensive Care,7300.0,676.0,8571.0,952,357.0,65,30,357.0000000000045
8316,2006-01-01,Los Angeles,106190148.0,CENTINELA FREEMAN REG MED CTR-CENTINELA CAMPUS,General Acute Care,Intensive Care,6312.0,238.0,5287.0,682,1945.0,65,40,1945.0000000000016
8344,2006-01-01,Los Angeles,106190155.0,CENTURY CITY DOCTORS HOSPITAL,General Acute Care,Intensive Care,3650.0,18.0,371.0,93,3390.0,65,44,3389.9999999999986
8358,2006-01-01,Los Angeles,106190159.0,TRI-CITY REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,4745.0,167.0,2032.0,360,3240.0,65,539,3239.9999999999986
8386,2006-01-01,Los Angeles,106190170.0,CHILDRENS HOSPITAL OF LOS ANGELES,General Acute Care,Intensive Care,16790.0,446.0,13582.0,1541,5195.0,65,52,5195.000000000004
8400,2006-01-01,Los Angeles,106190176.0,HELFORD CLINICAL RESEARCH HOSP AT CITY OF HOPE,General Acute Care,Intensive Care,6570.0,0.0,4696.0,839,2713.0,65,152,2713.0000000000005
8428,2006-01-01,Los Angeles,106190196.0,SOUTH BAY COMMUNITY HOPSITAL,General Acute Care,Intensive Care,1460.0,14.0,280.0,5,1199.0,65,482,1198.9999999999986
8442,2006-01-01,Los Angeles,106190197.0,COMMUNITY AND MISSION HSP OF HNTG PK - SLAUSON,General Acute Care,Intensive Care,1460.0,89.0,963.0,171,757.0,65,70,756.9999999999992
8456,2006-01-01,Los Angeles,106190198.0,LOS ANGELES COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,118.0,1746.0,260,822.0,65,306,821.9999999999995
8470,2006-01-01,Los Angeles,106190200.0,SAN GABRIEL VALLEY MEDICAL CENTER,General Acute Care,Intensive Care,6935.0,347.0,4933.0,1291,3640.0,65,438,3640.000000000001
8484,2006-01-01,Los Angeles,106190230.0,CENTINELA FREEMAN REG MED CTR-MEMORIAL CAMPUS,General Acute Care,Intensive Care,4745.0,247.0,3013.0,228,2207.0,65,42,2207.0000000000005
8512,2006-01-01,Los Angeles,106190240.0,LAKEWOOD REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,268.0,2919.0,1243,1512.0,65,284,1511.9999999999995
8526,2006-01-01,Los Angeles,106190243.0,DOWNEY REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,143.0,2522.0,599,1140.0,65,99,1139.9999999999998
8540,2006-01-01,Los Angeles,106190256.0,EAST LOS ANGELES DOCTORS HOSPITAL,General Acute Care,Intensive Care,1460.0,67.0,1164.0,86,449.0,65,103,448.9999999999994
8555,2006-01-01,Los Angeles,106190280.0,ENCINO-TARZANA REGIONAL MED CTR-ENCINO,General Acute Care,Intensive Care,7300.0,86.0,774.0,0,6612.0,65,114,6611.999999999998
8569,2006-01-01,Los Angeles,106190298.0,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,General Acute Care,Intensive Care,3285.0,273.0,2226.0,490,1822.0,65,123,1821.9999999999998
8583,2006-01-01,Los Angeles,106190307.0,"PACIFIC ALLIANCE MEDICAL CENTER, INC.",General Acute Care,Intensive Care,3285.0,87.0,1764.0,312,1920.0,65,382,1919.999999999999
8597,2006-01-01,Los Angeles,106190315.0,GARFIELD MEDICAL CENTER,General Acute Care,Intensive Care,5110.0,303.0,3310.0,593,2696.0,65,135,2696.0000000000005
8626,2006-01-01,Los Angeles,106190323.0,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,General Acute Care,Intensive Care,3650.0,122.0,3243.0,693,1222.0,65,139,1222.0000000000002
8640,2006-01-01,Los Angeles,106190328.0,EAST VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,1825.0,141.0,1520.0,120,566.0,65,104,565.9999999999998
8654,2006-01-01,Los Angeles,106190352.0,GREATER EL MONTE COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1825.0,135.0,767.0,0,1193.0,65,147,1192.999999999999
8668,2006-01-01,Los Angeles,106190380.0,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,General Acute Care,Intensive Care,1825.0,46.0,1021.0,277,1127.0,65,160,1126.9999999999989
8682,2006-01-01,Los Angeles,106190382.0,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,General Acute Care,Intensive Care,10220.0,367.0,6004.0,899,5482.0,65,162,5482.0
8696,2006-01-01,Los Angeles,106190385.0,PROVIDENCE HOLY CROSS MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,168.0,4027.0,553,1074.0,65,407,1074.0
8710,2006-01-01,Los Angeles,106190392.0,GOOD SAMARITAN HOSPITAL-LOS ANGELES,General Acute Care,Intensive Care,21170.0,397.0,7703.0,1888,15752.0,65,145,15751.999999999998
8725,2006-01-01,Los Angeles,106190400.0,HUNTINGTON MEMORIAL HOSPITAL,General Acute Care,Intensive Care,14600.0,542.0,3544.0,1147,12745.0,65,164,12745.0
8752,2006-01-01,Los Angeles,106190413.0,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,General Acute Care,Intensive Care,2920.0,0.0,0.0,0,2920.0,65,57,2919.999999999998
8766,2006-01-01,Los Angeles,106190422.0,TORRANCE MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,510.0,7348.0,1388,3310.0,65,537,3310.0000000000027
8780,2006-01-01,Los Angeles,106190429.0,KAISER FND HOSP - SUNSET,General Acute Care,Intensive Care,21900.0,1840.0,15670.0,1887,9957.0,65,209,9957.000000000007
8794,2006-01-01,Los Angeles,106190430.0,KAISER FND HOSP - BELLFLOWER,General Acute Care,Intensive Care,8760.0,457.0,5857.0,1128,4488.0,65,174,4488.000000000002
8808,2006-01-01,Los Angeles,106190431.0,KAISER FND HOSP - HARBOR CITY,General Acute Care,Intensive Care,3650.0,121.0,1045.0,298,3024.0,65,179,3023.999999999999
8822,2006-01-01,Los Angeles,106190432.0,KAISER FND HOSP - PANORAMA CITY,General Acute Care,Intensive Care,10950.0,351.0,3114.0,1029,9216.0,65,189,9215.999999999998
8836,2006-01-01,Los Angeles,106190434.0,KAISER FND HOSP - WEST LA,General Acute Care,Intensive Care,12410.0,804.0,7000.0,816,7030.0,65,211,7030.000000000002
8850,2006-01-01,Los Angeles,106190449.0,KINDRED HOSPITAL - LA MIRADA,General Acute Care,Intensive Care,2190.0,73.0,1835.0,84,512.0,65,260,511.9999999999993
8864,2006-01-01,Los Angeles,106190455.0,LANCASTER COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,152.0,3498.0,539,-617.0,65,285,-616.9999999999995
8878,2006-01-01,Los Angeles,106190458.0,KINDRED HOSPITAL - SAN GABRIEL VALLEY,General Acute Care,Intensive Care,2190.0,57.0,1148.0,148,1247.0,65,269,1246.9999999999986
8906,2006-01-01,Los Angeles,106190468.0,PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS,General Acute Care,Intensive Care,730.0,29.0,421.0,0,338.0,65,403,337.9999999999989
8920,2006-01-01,Los Angeles,106190470.0,LITTLE COMPANY OF MARY HOSPITAL,General Acute Care,Intensive Care,10220.0,576.0,7569.0,751,3978.0,65,288,3978.000000000003
8934,2006-01-01,Los Angeles,106190475.0,COMMUNITY HOSPITAL OF LONG BEACH,General Acute Care,Intensive Care,7665.0,339.0,2434.0,0,5570.0,65,74,5570.0
8962,2006-01-01,Los Angeles,106190500.0,CENTINELA FREEMAN REG MED CTR-MARINA CAMPUS,General Acute Care,Intensive Care,4380.0,203.0,2649.0,243,2177.0,65,41,2177.0000000000005
8976,2006-01-01,Los Angeles,106190517.0,ENCINO-TARZANA REGIONAL MED CTR-TARZANA,General Acute Care,Intensive Care,6205.0,115.0,1695.0,0,4625.0,65,115,4624.999999999998
8990,2006-01-01,Los Angeles,106190521.0,MEMORIAL HOSPITAL OF GARDENA,General Acute Care,Intensive Care,1825.0,285.0,3498.0,524,-864.0,65,331,-863.9999999999991
9004,2006-01-01,Los Angeles,106190522.0,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,General Acute Care,Intensive Care,4380.0,386.0,3394.0,656,2028.0,65,141,2028.0000000000005
9018,2006-01-01,Los Angeles,106190524.0,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,General Acute Care,Intensive Care,1825.0,110.0,1630.0,387,692.0,65,350,691.9999999999994
9033,2006-01-01,Los Angeles,106190525.0,LONG BEACH MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,22265.0,2965.0,18984.0,3603,9849.0,65,301,9849.000000000011
9047,2006-01-01,Los Angeles,106190529.0,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,General Acute Care,Intensive Care,3285.0,194.0,3009.0,556,1026.0,65,348,1026.0000000000002
9061,2006-01-01,Los Angeles,106190534.0,OLYMPIA MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,183.0,1790.0,0,583.0,65,375,582.9999999999998
9089,2006-01-01,Los Angeles,106190541.0,MONROVIA COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1568.0,0.0,0.0,0,1568.0,65,354,1567.9999999999984
9103,2006-01-01,Los Angeles,106190547.0,MONTEREY PARK HOSPITAL,General Acute Care,Intensive Care,1460.0,91.0,763.0,228,1016.0,65,357,1015.9999999999989
9117,2006-01-01,Los Angeles,106190552.0,MOTION PICTURE AND TELEVISION HOSPITAL,General Acute Care,Intensive Care,1460.0,12.0,112.0,0,1360.0,65,360,1359.9999999999984
9131,2006-01-01,Los Angeles,106190555.0,CEDARS SINAI MEDICAL CENTER,General Acute Care,Intensive Care,42216.0,1414.0,19379.0,6458,30709.0,65,39,30709.000000000004
9145,2006-01-01,Los Angeles,106190568.0,NORTHRIDGE HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,488.0,4754.0,656,5150.0,65,367,5150.0
9159,2006-01-01,Los Angeles,106190570.0,NORWALK COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,139.0,2195.0,248,382.0,65,368,381.9999999999999
9173,2006-01-01,Los Angeles,106190587.0,PACIFIC HOSPITAL OF LONG BEACH,General Acute Care,Intensive Care,2920.0,483.0,3193.0,0,210.0,65,383,210.00000000000168
9187,2006-01-01,Los Angeles,106190599.0,PROMISE HOSPITAL OF EAST LOS ANGELES-SUBURBAN CAMPUS,General Acute Care,Intensive Care,2555.0,43.0,273.0,0,2325.0,65,404,2324.999999999998
9201,2006-01-01,Los Angeles,106190630.0,POMONA VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,13140.0,321.0,5195.0,959,9225.0,65,400,9225.0
9215,2006-01-01,Los Angeles,106190631.0,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,General Acute Care,Intensive Care,8760.0,1702.0,4688.0,0,5774.0,65,401,5774.000000000004
9230,2006-01-01,Los Angeles,106190636.0,CITRUS VALLEY MEDICAL CENTER - QV CAMPUS,General Acute Care,Intensive Care,4380.0,381.0,6379.0,1397,-221.0,65,59,-220.99999999999812
9258,2006-01-01,Los Angeles,106190661.0,CITY OF ANGELS MEDICAL CENTER-DOWNTOWN CAMPUS,General Acute Care,Intensive Care,4380.0,90.0,1437.0,365,3398.0,65,60,3397.999999999998
9272,2006-01-01,Los Angeles,106190673.0,SAN DIMAS COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,191.0,1090.0,315,876.0,65,436,875.9999999999993
9286,2006-01-01,Los Angeles,106190680.0,LITTLE COMPANY OF MARY - SAN PEDRO HOSPITAL,General Acute Care,Intensive Care,4380.0,221.0,2571.0,307,2337.0,65,287,2337.0
9314,2006-01-01,Los Angeles,106190687.0,SANTA MONICA - UCLA MEDICAL CENTER,General Acute Care,Intensive Care,8030.0,347.0,5406.0,945,3916.0,65,447,3916.0000000000014
9328,2006-01-01,Los Angeles,106190696.0,PACIFICA HOSPITAL OF THE VALLEY,General Acute Care,Intensive Care,2555.0,169.0,1868.0,0,856.0,65,384,855.9999999999999
9342,2006-01-01,Los Angeles,106190708.0,SHERMAN OAKS HOSPITAL,General Acute Care,Intensive Care,2920.0,248.0,3032.0,557,693.0,65,466,693.0000000000002
9369,2006-01-01,Los Angeles,106190754.0,ST. FRANCIS MEDICAL CENTER,General Acute Care,Intensive Care,13140.0,2576.0,11690.0,0,4026.0,65,494,4026.00000000001
9383,2006-01-01,Los Angeles,106190756.0,ST. JOHNS HOSPITAL AND HEALTH CENTER,General Acute Care,Intensive Care,12775.0,788.0,6252.0,1220,8531.0,65,499,8531.000000000002
9397,2006-01-01,Los Angeles,106190758.0,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,General Acute Care,Intensive Care,13870.0,308.0,4565.0,915,10528.0,65,414,10528.0
9411,2006-01-01,Los Angeles,106190766.0,COAST PLAZA DOCTORS HOSPITAL,General Acute Care,Intensive Care,1460.0,150.0,1215.0,0,395.0,65,64,394.99999999999966
9439,2006-01-01,Los Angeles,106190784.0,TEMPLE COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,34.0,807.0,29,1446.0,65,536,1445.9999999999986
9453,2006-01-01,Los Angeles,106190796.0,UCLA MEDICAL CENTER,General Acute Care,Intensive Care,25550.0,401.0,23635.0,3019,5335.0,65,546,5335.000000000009
9467,2006-01-01,Los Angeles,106190812.0,VALLEY PRESBYTERIAN HOSPITAL,General Acute Care,Intensive Care,10950.0,495.0,5514.0,1436,7367.0,65,570,7367.000000000002
9495,2006-01-01,Los Angeles,106190818.0,VERDUGO HILLS HOSPITAL,General Acute Care,Intensive Care,2190.0,143.0,1516.0,288,1105.0,65,575,1104.9999999999995
9509,2006-01-01,Los Angeles,106190854.0,LOS ANGELES METROPOLITAN MEDICAL CENTER,General Acute Care,Intensive Care,1460.0,51.0,896.0,83,698.0,65,310,697.9999999999991
9523,2006-01-01,Los Angeles,106190857.0,"DOCTORS HOSPITAL OF WEST COVINA, INC",General Acute Care,Intensive Care,1095.0,0.0,0.0,0,1095.0,65,92,1094.9999999999984
9537,2006-01-01,Los Angeles,106190859.0,WEST HILLS HOSPITAL AND MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,132.0,2209.0,462,1305.0,65,588,1304.9999999999998
9551,2006-01-01,Los Angeles,106190878.0,WHITE MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,12069.0,328.0,5615.0,1107,7889.0,65,592,7889.0
9565,2006-01-01,Los Angeles,106190883.0,WHITTIER HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,5840.0,481.0,2180.0,0,4141.0,65,593,4141.0
9593,2006-01-01,Los Angeles,106190949.0,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2190.0,112.0,1969.0,500,833.0,65,155,832.9999999999995
9607,2006-01-01,Los Angeles,106191216.0,"USC KENNETH NORRIS, JR. CANCER HOSPITAL",General Acute Care,Intensive Care,4745.0,83.0,1944.0,549,3433.0,65,563,3432.9999999999986
9635,2006-01-01,Los Angeles,106191227.0,LOS ANGELES CO HARBOR-UCLA MEDICAL CENTER,General Acute Care,Intensive Care,16060.0,1061.0,15540.0,2507,4088.0,65,303,4088.0000000000073
9649,2006-01-01,Los Angeles,106191228.0,LOS ANGELES CO USC MEDICAL CENTER,General Acute Care,Intensive Care,29200.0,758.0,18118.0,2657,14497.0,65,305,14497.00000000001
9663,2006-01-01,Los Angeles,106191230.0,LOS ANGELES CO MARTIN LUTHER KING JR/DREW MED CTR,General Acute Care,Intensive Care,19345.0,266.0,7389.0,1507,13729.0,65,304,13728.999999999998
9677,2006-01-01,Los Angeles,106191231.0,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER,General Acute Care,Intensive Care,15330.0,250.0,4394.0,1038,12224.0,65,309,12224.0
9691,2006-01-01,Los Angeles,106191306.0,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER,General Acute Care,Intensive Care,8760.0,80.0,827.0,0,8013.0,65,283,8012.999999999998
9705,2006-01-01,Los Angeles,106191450.0,KAISER FND HOSP - WOODLAND HILLS,General Acute Care,Intensive Care,4015.0,376.0,3966.0,965,1390.0,65,212,1390.0000000000014
9733,2006-01-01,Los Angeles,106194219.0,USC UNIVERSITY HOSPITAL,General Acute Care,Intensive Care,16060.0,313.0,12591.0,2230,6012.0,65,564,6012.000000000004
9775,2006-01-01,Los Angeles,106196035.0,KAISER FND HOSP - BALDWIN PARK,General Acute Care,Intensive Care,4380.0,240.0,2883.0,718,2455.0,65,173,2455.0
9789,2006-01-01,Los Angeles,106196168.0,EARL AND LORRAINE MILLER CHILDRENS HOSPITAL,General Acute Care,Intensive Care,7300.0,361.0,4971.0,1739,4429.0,65,102,4429.0
9817,2006-01-01,Madera,106201281.0,MADERA COMMUNITY HOSPITAL,General Acute Care,Intensive Care,3650.0,281.0,2697.0,451,1685.0,66,317,1685.0000000000005
9831,2006-01-01,Madera,106204019.0,CHILDRENS HOSPITAL CENTRAL CALIFORNIA,General Acute Care,Intensive Care,10220.0,293.0,6901.0,887,4499.0,66,51,4499.0
9845,2006-01-01,Marin,106210992.0,KAISER FND HOSP - SAN RAFAEL,General Acute Care,Intensive Care,4380.0,192.0,2394.0,700,2878.0,67,202,2878.0
9874,2006-01-01,Marin,106211006.0,MARIN GENERAL HOSPITAL,General Acute Care,Intensive Care,3650.0,154.0,2713.0,717,1808.0,67,321,1808.0
9887,2006-01-01,Marin,106214034.0,NOVATO COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,143.0,1199.0,392,796.0,67,369,795.9999999999993
9915,2006-01-01,Mendocino,106230949.0,FRANK R HOWARD MEMORIAL HOSPITAL,General Acute Care,Intensive Care,1460.0,46.0,276.0,49,1279.0,68,127,1278.9999999999986
9929,2006-01-01,Mendocino,106231013.0,MENDOCINO COAST DISTRICT HOSPITAL,General Acute Care,Intensive Care,1460.0,193.0,829.0,113,937.0,68,332,936.9999999999993
9943,2006-01-01,Mendocino,106231396.0,UKIAH VALLEY MEDICAL CENTER/HOSPITAL DRIVE,General Acute Care,Intensive Care,2190.0,250.0,1299.0,339,1480.0,68,554,1479.9999999999993
9972,2006-01-01,Merced,106240924.0,MEMORIAL HOSPITAL LOS BANOS,General Acute Care,Intensive Care,1460.0,56.0,780.0,74,810.0,69,328,809.9999999999991
10028,2006-01-01,Mono,106260011.0,MAMMOTH HOSPITAL,General Acute Care,Intensive Care,730.0,18.0,80.0,32,700.0,70,318,699.9999999999985
10042,2006-01-01,Monterey,106270744.0,COMMUNITY HOSPITAL MONTEREY PENINSULA,General Acute Care,Intensive Care,2585.0,66.0,1055.0,572,2168.0,71,72,2167.9999999999986
10056,2006-01-01,Monterey,106270777.0,GEORGE L MEE MEMORIAL HOSPITAL,General Acute Care,Intensive Care,1460.0,206.0,359.0,26,1333.0,71,137,1332.999999999999
10070,2006-01-01,Monterey,106270875.0,SALINAS VALLEY MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2190.0,147.0,2797.0,742,282.0,71,433,281.99999999999994
10084,2006-01-01,Monterey,106274043.0,NATIVIDAD MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,210.0,1753.0,0,2107.0,71,362,2107.0
10099,2006-01-01,Napa,106281047.0,QUEEN OF THE VALLEY HOSPITAL - NAPA,General Acute Care,Intensive Care,5840.0,238.0,4486.0,1138,2730.0,72,416,2730.000000000001
10113,2006-01-01,Napa,106281078.0,ST. HELENA HOSPITAL,General Acute Care,Intensive Care,4380.0,133.0,2209.0,404,2708.0,72,496,2707.9999999999986
10127,2006-01-01,Nevada,106291023.0,SIERRA NEVADA MEMORIAL HOSPITAL,General Acute Care,Intensive Care,730.0,96.0,669.0,238,395.0,73,469,394.99999999999903
